Model,RMSE,QLIKE,RMPSE,MAPE
LAG,0.941789,8.849587,4632589076.217122,3.957170612903519e+17
HAR_RV,0.977866,8.851011,4525823893.813064,3.8541609303300275e+17
Linear,0.967299,8.843727,4531514389.951303,3.8838791734940134e+17
PCA_Linear,0.917355,8.804401,4244222506.889708,3.398432433791794e+17
Random_Forest,0.955538,8.832101,4420878703.83443,3.7020242222548896e+17
Gradient_Boosting,1.043312,8.848217,4519397848.839917,4.077799069067116e+17
